Affiliation,PrefClassYear,Degrees,StateOrProvince,Country
Alumni,2015.0,"BSc Geop Eng '15, MSc Geop '17",CO,
Alumni,2009.0,BSc Geop Eng '09,CO,
Alumni,1985.0,"BSc Geop Eng '85, BSc ME Math '85",CO,
Alumni,1983.0,BSc Geop Eng '83,TX,
Alumni,1971.0,BSc Geop Eng '71,TX,
Alumni,2003.0,"BSc Geop Eng '03, MSc Geop '06",TX,
Alumni,1984.0,MSc Geop '84,MA,
Alumni,1993.0,"BSc Geop Eng '93, Geop Engineer '00",TX,
Alumni,1967.0,PhD Geop Eng '67,MI,
Alumni,1980.0,BSc Geop Eng '80,CO,
Alumni,1960.0,MSc Geop '60,CA,
Alumni,2002.0,BSc Geop Eng '02,,Saudi Arabia
Alumni,1980.0,BSc Geop Eng '80,CO,
Alumni,1985.0,BSc Geop Eng '85,CO,
Alumni,2019.0,BSc Geop Eng '19,CO,
Alumni,2006.0,Pro M Pet Res Sys '06,CO,
Alumni,2017.0,MSc Geop '17,CO,
Alumni,1985.0,"BSc Eng '85, BSc Geop Eng '85",TX,
Alumni,2017.0,MSc Geop Eng '17,,Colombia
Alumni,1965.0,Geop Engineer '65,CO,
Alumni,1987.0,BSc Geop Eng '87,CO,
Alumni,2018.0,BSc Geop Eng '18,TX,
Alumni,1970.0,BSc Geop Eng '70,OH,
Alumni,1994.0,MSc Geop Eng '94,WA,
Alumni,1972.0,PhD Geop '72,CO,
Alumni,1995.0,BSc Geop Eng '95,TX,
Alumni,2013.0,MSc Geop '13,,France
Alumni,1970.0,Geop Engineer '70,AZ,
Alumni,1973.0,MSc Geop '73,TX,
Alumni,1995.0,BSc Geop Eng '95,AR,
Alumni,1978.0,BSc Geop Eng '78,AR,
Alumni,1984.0,BSc Geop Eng '84,CA,
Faculty/Staff,,,PA,
Alumni,1963.0,Geop Engineer '63,FL,
Alumni,1985.0,"MSc Geop '85, PhD Geop Eng '89",MI,
Alumni,2009.0,PhD Geop '09,TX,
