Affiliation,PrefClassYear,Degrees,State,Country,Latitude,Longitude
Alumni,1993.0,PhD,TX,United States,31.0545,-97.5635
Alumni,1987.0,BSc,,Indonesia,-2.221737936520542,117.42340756227364
Alumni,1981.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1983.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1977.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1977.0,PhD,CO,United States,39.5501,-105.7821
Alumni,2016.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2013.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2013.0,MSc,TX,United States,31.0545,-97.5635
Alumni,2020.0,PhD,,Mexico,23.935371902244835,-102.5763495239869
Alumni,2016.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2016.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1992.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1996.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1980.0,MSc,PR,United States,18.2208,-66.5901
Alumni,1975.0,BSc,VA,United States,37.7693,-78.17
Alumni,1968.0,MSc,CO,United States,39.5501,-105.7821
Alumni,2010.0,MSc,,Norway,69.15685630975351,15.468119955206761
Alumni,2010.0,PhD,,Norway,69.15685630975351,15.468119955206761
Alumni,2013.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1989.0,MSc,TX,United States,31.0545,-97.5635
Alumni,2010.0,PhD,CO,United States,39.5501,-105.7821
Alumni,2008.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1983.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2014.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1987.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1987.0,BSc,CA,United States,36.7783,-119.4179
Alumni,2015.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1978.0,BSc,WA,United States,47.4009,-121.4905
Alumni,1978.0,MSc,WA,United States,47.4009,-121.4905
Alumni,1978.0,PhD,WA,United States,47.4009,-121.4905
Alumni,1987.0,,TX,United States,31.0545,-97.5635
Alumni,2019.0,PhD,NY,United States,42.1657,-74.9481
Alumni,2015.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2015.0,MSc,CO,United States,39.5501,-105.7821
Alumni,2009.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1985.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1985.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1983.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1971.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2003.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2003.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1984.0,MSc,MA,United States,42.2596,-71.8083
Alumni,1993.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1967.0,PhD,MI,United States,44.3467,-85.4102
Alumni,1980.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1960.0,MSc,CA,United States,36.7783,-119.4179
Alumni,2002.0,BSc,,Saudi Arabia,24.123289839105293,44.51636376826477
Alumni,1980.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1985.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2019.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2006.0,,CO,United States,39.5501,-105.7821
Alumni,2017.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1985.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1985.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2017.0,MSc,,Colombia,3.927213862709704,-73.07773208697478
Alumni,1965.0,,CO,United States,39.5501,-105.7821
Alumni,1987.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2018.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1970.0,BSc,OH,United States,40.3888,-82.7649
Alumni,1994.0,MSc,WA,United States,47.4009,-121.4905
Alumni,1972.0,PhD,CO,United States,39.5501,-105.7821
Alumni,1995.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2013.0,MSc,,France,42.46070432663372,-2.8766966992706267
Alumni,1970.0,,AZ,United States,34.0489,-111.0937
Alumni,1973.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1995.0,BSc,AR,United States,34.7998,-92.1997
Alumni,1978.0,BSc,AR,United States,34.7998,-92.1997
Alumni,1984.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1963.0,,FL,United States,27.9944,-81.7603
Alumni,1985.0,MSc,MI,United States,44.3467,-85.4102
Alumni,1985.0,PhD,MI,United States,44.3467,-85.4102
Alumni,2009.0,PhD,TX,United States,31.0545,-97.5635
Alumni,1969.0,,VT,United States,44.0459,-72.7107
Alumni,1990.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2019.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2019.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1984.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1984.0,MSc,CO,United States,39.5501,-105.7821
Alumni,2014.0,PhD,TX,United States,31.0545,-97.5635
Alumni,1976.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2012.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1977.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1963.0,MSc,OK,United States,35.5653,-96.9289
Alumni,1986.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1983.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1985.0,BSc,UT,United States,40.15,-111.8624
Alumni,1960.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1974.0,PhD,OK,United States,35.5653,-96.9289
Alumni,1981.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1993.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1969.0,MSc,FL,United States,27.9944,-81.7603
Alumni,1997.0,BSc,FL,United States,27.9944,-81.7603
Alumni,1978.0,BSc,TX,United States,31.0545,-97.5635
Alumni,2012.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2010.0,BSc,KS,United States,38.5266,-96.7265
Alumni,1971.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1979.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1979.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1971.0,,OK,United States,35.5653,-96.9289
Alumni,1981.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1983.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1980.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2000.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2001.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1976.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1976.0,MSc,CO,United States,39.5501,-105.7821
Alumni,1976.0,PhD,CO,United States,39.5501,-105.7821
Alumni,1961.0,MSc,CA,United States,36.7783,-119.4179
Alumni,1983.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1982.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1986.0,MSc,LA,United States,31.1695,-91.8678
Alumni,1979.0,BSc,TX,United States,31.0545,-97.5635
Alumni,1958.0,,FL,United States,27.9944,-81.7603
Alumni,1976.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2005.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2020.0,BSc,CA,United States,36.7783,-119.4179
Alumni,1950.0,,TX,United States,31.0545,-97.5635
Alumni,1953.0,MSc,CA,United States,36.7783,-119.4179
Alumni,1983.0,PhD,,Thailand,15.01697499141648,101.00613354626108
Alumni,2012.0,MSc,,Kazakhstan,48.19166075218232,67.2846109811001
Alumni,2017.0,BSc,,Canada,61.46907614534896,-98.14238137209708
Alumni,1985.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2021.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1953.0,,CO,United States,39.5501,-105.7821
Alumni,1979.0,BSc,CO,United States,39.5501,-105.7821
Alumni,1956.0,PhD,TX,United States,31.0545,-97.5635
Alumni,1970.0,BSc,CO,United States,39.5501,-105.7821
Alumni,2013.0,MSc,TX,United States,31.0545,-97.5635
Alumni,1967.0,,NM,United States,34.8405,-106.2485
